config,seed,n_train_services,n_test_services,num_train_episodes,num_test_episodes,mean_train_fitness_last_10,mean_test_fitness,std_test_fitness,mean_test_initial_fitness,mean_drl_inference_seconds_per_episode,mean_pso_seconds_per_episode,train_seconds,test_seconds,test_success_rate,uses_gnn,uses_pso,total_seconds
DRL,42,2006,501,50,25,0.4331880485180368,0.5388024556457673,0.03186141031656486,0.5388024556457673,0.01639684200286865,0.0,10.68876838684082,0.11069917678833008,1.0,False,False,11.127660989761353
DRL,123,2006,501,50,25,0.4083714749202702,0.5488199947815332,0.04771901650792964,0.5488199947815332,0.025129818916320802,0.0,11.582225561141968,0.047704458236694336,1.0,False,False,12.030266046524048
DRL,2024,2006,501,50,25,0.45954627676186066,0.5365933926064668,0.03442237209284888,0.5365933926064668,0.02311163902282715,0.0,11.427595376968384,0.0733330249786377,1.0,False,False,11.942026376724243
DRL,7,2006,501,50,25,0.42872098759024635,0.5644111869113717,0.03470574878164835,0.5644111869113717,0.019985079765319824,0.0,10.602006435394287,0.08320140838623047,1.0,False,False,11.101032257080078
DRL,999,2006,501,50,25,0.4389244751706056,0.5181922158297756,0.0402885323689984,0.5181922158297756,0.02058807373046875,0.0,10.621710777282715,0.05362224578857422,1.0,False,False,11.083275318145752
GNN_DRL,42,2006,501,50,25,0.4309955290680648,0.40980021505925024,0.07437553112420008,0.40980021505925024,0.022350497245788574,0.0,10.619266510009766,0.09554576873779297,1.0,True,False,20.920573711395264
GNN_DRL,123,2006,501,50,25,0.44470472544568207,0.5242129316646966,0.046588275956675716,0.5242129316646966,0.018944787979125976,0.0,10.91182565689087,0.04653501510620117,1.0,True,False,21.112775325775146
GNN_DRL,2024,2006,501,50,25,0.47697151269850535,0.5338059866606821,0.027940653055321736,0.5338059866606821,0.021589112281799317,0.0,10.688172578811646,0.09505987167358398,1.0,True,False,21.168417930603027
GNN_DRL,7,2006,501,50,25,0.4303582731955129,0.5564330892633887,0.02814629998003286,0.5564330892633887,0.020443220138549805,0.0,10.997016668319702,0.04699087142944336,1.0,True,False,21.720920085906982
GNN_DRL,999,2006,501,50,25,0.42668255810344985,0.47132690492544266,0.0634194499271412,0.47132690492544266,0.01706432819366455,0.0,9.213064908981323,0.08407998085021973,1.0,True,False,19.25429344177246
DRL_PSO,42,2006,501,50,25,0.5835396709327229,0.5885612259142838,0.04050490918344883,0.4421871126682444,0.016409029960632326,0.03710070610046387,11.337605714797974,0.757861852645874,1.0,False,True,12.359295845031738
DRL_PSO,123,2006,501,50,25,0.5995119783210718,0.5881959816349355,0.046081602186804835,0.5268903236963786,0.01137319564819336,0.03873412609100342,11.655334711074829,0.7407236099243164,1.0,False,True,12.676377058029175
DRL_PSO,2024,2006,501,50,25,0.6109603992060006,0.5861010903026923,0.03325051052278299,0.3013180125992528,0.021490135192871095,0.04140645503997803,11.493824005126953,0.7214736938476562,1.0,False,True,12.574556112289429
DRL_PSO,7,2006,501,50,25,0.5871970194217685,0.6055266169280246,0.029157454896037865,0.2575171695723237,0.017996716499328613,0.035927505493164064,11.911573648452759,0.7689731121063232,1.0,False,True,12.9483060836792
DRL_PSO,999,2006,501,50,25,0.6036544931415231,0.5874648450809223,0.04555856592285783,0.4363902738957446,0.01715517520904541,0.032919697761535645,11.24459981918335,0.7423269748687744,1.0,False,True,12.261019706726074
GNN_DRL_PSO,42,2006,501,50,25,0.5834098659688252,0.6006568312620622,0.02472115459560618,0.3882325438254732,0.013461246490478515,0.038432745933532714,11.42451810836792,0.7538251876831055,1.0,True,True,23.032519578933716
GNN_DRL_PSO,123,2006,501,50,25,0.5937827977427195,0.5922051325949443,0.04462464786216561,0.3805686784589213,0.020777721405029297,0.033856501579284666,10.651900291442871,0.7237820625305176,1.0,True,True,21.7368426322937
GNN_DRL_PSO,2024,2006,501,50,25,0.6063067207225595,0.5859103008032851,0.03224212193995173,0.5040808069363627,0.01842729568481445,0.03448535442352295,10.624197721481323,0.7355268001556396,1.0,True,True,22.23128342628479
GNN_DRL_PSO,7,2006,501,50,25,0.5839183233624421,0.6044904095831269,0.02863066352149921,0.5356189597425935,0.011964902877807618,0.0345310640335083,5.626026153564453,0.7145020961761475,1.0,True,True,13.483197212219238
GNN_DRL_PSO,999,2006,501,50,25,0.5919079103970313,0.5802886853218748,0.05066966175396164,0.35293609425625005,0.007870469093322754,0.04281178951263428,6.6086955070495605,0.7255651950836182,1.0,True,True,14.70762014389038
